Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-06-08,91.64,91.91,90.82,91.44,0,92.85366635861075,91.1855,89.51733364138926,48.08747414359932,91.91,90.82,80.38,90.9,91.74,94.61
2010-06-09,91.45,91.66,91.04,91.17,0,92.6812494994395,91.1205,89.55975050056051,46.17573736841794,91.66,91.04,80.38,90.9,91.74,94.61
2010-06-10,91.18,91.73,90.84,91.49,0,92.61854172084757,91.0965,89.57445827915244,48.774993336721195,91.73,90.84,80.38,90.9,91.74,94.61
2010-06-11,91.5,91.77,91.24,91.64,0,92.60837433516127,91.0925,89.57662566483873,49.994035517493856,91.77,91.24,80.38,90.9,91.74,94.61
2010-06-13,91.82,91.92,91.59,91.87,0,92.67581647816502,91.172,89.66818352183498,51.884811853628655,91.92,91.59,80.38,90.9,91.74,94.61
2010-06-14,91.86,92.1,91.4,91.49,0,92.65010301084176,91.2485,89.84689698915825,48.614249878791284,92.1,91.4,80.38,90.9,91.74,94.61
2010-06-15,91.48,91.65,91.07,91.5,0,92.62656323769617,91.316,90.00543676230383,48.70588264236656,91.65,91.07,80.38,90.9,91.74,94.61
2010-06-16,91.51,91.81,91.08,91.23,0,92.52902264786053,91.381,90.23297735213947,46.30492910792223,91.81,91.08,80.38,90.9,91.74,94.61
2010-06-17,91.22,91.4,90.5,90.87,0,92.47402759475773,91.4095,90.34497240524226,43.244010896030474,91.4,90.5,80.38,90.9,91.74,94.61
2010-06-18,90.86,90.88,90.43,90.7,0,92.35104900474835,91.44550000000001,90.53995099525167,41.837568209398015,90.88,90.43,80.38,90.9,91.74,94.61
2010-06-20,90.28,90.95,90.25,90.75,0,92.3720735265472,91.4285,90.4849264734528,42.43062103821088,90.95,90.25,80.38,90.9,91.74,94.61
2010-06-21,90.76,91.47,90.62,90.92,0,92.37762754250842,91.422,90.46637245749157,44.502607919341614,91.47,90.62,80.38,90.9,91.74,94.61
2010-06-22,90.93,90.96,90.32,90.48,0,92.41780524366682,91.3775,90.33719475633318,40.445181234243705,90.96,90.32,80.38,90.9,91.74,94.61
2010-06-23,90.49,90.53,89.73,89.85,0,92.5476644492697,91.32,90.09233555073028,35.46004473204357,90.53,89.73,80.38,90.9,91.74,94.61
2010-06-24,89.86,89.9,89.22,89.5,0,92.68215180841496,91.223,89.76384819158504,33.02469539236253,89.9,89.22,80.38,90.9,91.74,94.61
2010-06-25,89.51,89.77,89.21,89.23,0,92.70625642154864,91.076,89.44574357845134,31.242139489308755,89.77,89.21,80.38,90.9,91.74,94.61
2010-06-27,89.27,89.43,89.26,89.4,0,92.5236401583482,90.912,89.30035984165181,33.66978668915493,89.43,89.26,80.38,90.9,91.74,94.61
2010-06-28,89.39,89.46,88.88,88.88,0,92.53208893057366,90.761,88.98991106942633,30.161788112718867,89.46,88.88,80.38,90.9,91.74,94.61
2010-06-29,88.89,88.95,88.28,88.56,0,92.63254840061401,90.631,88.62945159938599,28.213692407992895,88.95,88.28,80.38,90.9,91.74,94.61
2010-06-30,88.55,88.76,88.08,88.17,0,92.66804590635302,90.457,88.24595409364697,26.00886819325133,88.76,88.08,80.38,90.9,91.74,94.61
2010-07-01,88.16,88.5,86.96,88.05,0,92.68317840078764,90.2875,87.89182159921235,25.352369418966873,88.5,86.96,80.38,90.9,91.74,94.61
2010-07-02,88.06,88.1,87.31,87.74,0,92.71673374261964,90.116,87.51526625738036,23.688872547992574,88.1,87.31,80.38,90.9,91.74,94.61
2010-07-04,87.71,87.99,87.64,87.88,0,92.62917017283118,89.9355,87.24182982716883,26.048805436561636,87.99,87.64,80.38,90.9,91.74,94.61
2010-07-05,87.89,87.97,87.4,87.62,0,92.48867846190116,89.7345,86.98032153809883,24.531523463136068,87.97,87.4,80.38,90.9,91.74,94.61
2010-07-06,87.61,87.97,87.34,87.53,0,92.24825722099203,89.5175,86.78674277900797,24.010175518376386,87.97,87.34,80.38,90.9,91.74,94.61
2010-07-07,87.54,88.45,87.01,88.34,0,91.9785797677367,89.36,86.7414202322633,36.98928130270389,88.45,87.01,80.38,90.9,91.74,94.61
2010-07-08,88.33,88.69,87.99,88.67,0,91.65902678739653,89.2185,86.77797321260348,41.382005071877785,88.69,87.99,80.38,90.9,91.74,94.61
