Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-10-13,107.7,107.99,107.56,107.86,0,109.34194378059601,108.16799999999998,106.99405621940394,48.962666660430024,107.99,107.56,104.58
2000-10-15,107.69,107.84,107.54,107.84,0,109.25308421217919,108.21399999999998,107.17491578782078,48.700214668698756,107.84,107.54,104.58
2000-10-16,107.86,108.36,107.84,108.07,0,109.2540554469266,108.21700000000001,107.17994455307343,51.893730088747894,108.36,107.84,104.58
2000-10-17,108.06,108.27,107.79,108.11,0,109.25395342192202,108.23149999999998,107.20904657807795,52.44814862103493,108.27,107.79,104.58
2000-10-18,108.1,108.35,107.44,107.79,0,109.23419836065443,108.24600000000001,107.25780163934559,47.710878601983325,108.35,107.44,104.58
2000-10-19,107.8,108.61,107.61,108.45,0,109.23410615480233,108.2885,107.34289384519766,56.4482739914436,108.61,107.61,104.58
2000-10-20,108.4,109.2,108.35,108.9,0,109.2721478580765,108.35650000000001,107.44085214192353,61.207845020154636,109.2,108.35,104.58
2000-10-22,108.98,109.09,108.91,108.93,0,109.33580437391771,108.40299999999999,107.47019562608227,61.50984404188958,109.09,108.91,104.58
2000-10-23,108.94,109.06,108.21,108.28,0,109.33134683067908,108.397,107.46265316932093,52.05414330798279,109.06,108.21,104.58
2000-10-24,108.27,108.5,107.65,107.99,0,109.33328183380912,108.38399999999999,107.43471816619085,48.47379376425456,108.5,107.65,104.58
2000-10-25,108.0,108.41,107.81,108.36,0,109.30752328337304,108.36800000000001,107.42847671662697,52.92285750986403,108.41,107.81,104.58
2000-10-26,108.37,108.65,107.94,108.35,0,109.26387846229102,108.34549999999999,107.42712153770896,52.79018632279289,108.65,107.94,104.58
2000-10-27,108.36,108.87,108.31,108.74,0,109.1722140906854,108.32199999999997,107.47178590931455,57.28735414748929,108.87,108.31,104.58
2000-10-29,108.76,108.89,108.65,108.69,0,109.15395942622541,108.31599999999999,107.47804057377456,56.54368291578591,108.89,108.65,104.58
