Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2020-07-08,107.618,107.621,107.181,107.245,0,107.88941256750726,107.25174999999999,106.61408743249271,47.13236363643728,107.621,107.181,102.816,110.186,111.975
2020-07-09,107.246,107.396,107.0,107.014,0,107.88497614902941,107.23904999999999,106.59312385097057,44.01439427506762,107.396,107.0,102.816,110.186,111.975
2020-07-10,107.013,107.044,106.638,106.917,0,107.88172205775388,107.24179999999998,106.60187794224609,42.7359253584819,107.044,106.638,102.816,110.186,111.975
2020-07-12,106.886,106.944,106.787,106.829,0,107.88692698295478,107.2378,106.58867301704521,41.556606769757366,106.944,106.787,102.816,110.186,111.975
2020-07-13,106.829,107.367,106.822,107.159,0,107.87947644796529,107.25295000000001,106.62642355203474,47.416667166180375,107.367,106.822,102.816,110.186,111.975
2020-07-14,107.157,107.434,107.142,107.287,0,107.8763564628746,107.2731,106.6698435371254,49.53052683768261,107.434,107.142,102.816,110.186,111.975
2020-07-15,107.286,107.295,106.666,106.966,0,107.87949428406624,107.2628,106.64610571593376,44.67967715786163,107.295,106.666,102.816,110.186,111.975
2020-07-16,106.966,107.4,106.862,107.231,0,107.81449128575139,107.2981,106.78170871424862,49.11063319758968,107.4,106.862,102.816,110.186,111.975
2020-07-17,107.231,107.279,106.939,107.018,0,107.81706632623118,107.2867,106.75633367376881,45.92647757113651,107.279,106.939,102.816,110.186,111.975
2020-07-19,107.026,107.538,107.014,107.361,0,107.82474427080223,107.29675,106.76875572919778,51.39193238928206,107.538,107.014,102.816,110.186,111.975
2020-07-20,107.36,107.382,107.035,107.217,0,107.82493779242958,107.29729999999999,106.7696622075704,49.146068242207605,107.382,107.035,102.816,110.186,111.975
2020-07-21,107.216,107.365,106.681,106.819,0,107.84531889866444,107.28105000000001,106.71678110133557,43.489209764056255,107.365,106.681,102.816,110.186,111.975
2020-07-22,106.819,107.289,106.754,107.125,0,107.78020846554074,107.251,106.72179153445927,48.40628002894067,107.289,106.754,102.816,110.186,111.975
