Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-06-17,78.799,79.291,78.798,79.092,0,80.10019596559408,79.0827,78.06520403440592,46.63422910451999,79.291,78.798,76.651,76.152
2012-06-18,79.09,79.297,78.851,78.98,0,80.02915442209687,79.048,78.06684557790314,45.122335944990496,79.297,78.851,76.651,76.152
2012-06-19,78.979,79.117,78.785,78.834,0,79.99323788864227,79.0205,78.04776211135773,43.15808062260715,79.117,78.785,76.651,76.152
2012-06-20,78.833,79.692,78.817,79.581,0,80.01046301423898,79.02615,78.04183698576102,54.15458602771724,79.692,78.817,76.651,76.152
2012-06-21,79.584,80.335,79.551,80.308,0,80.19275545317522,79.0707,77.94864454682478,61.883189166319234,80.335,79.551,76.651,76.152
2012-06-22,80.312,80.559,80.217,80.415,0,80.40764918209366,79.15445,77.90125081790633,62.87517078095627,80.559,80.217,76.651,76.152
2012-06-24,80.422,80.613,80.225,80.321,0,80.5542616795067,79.24855,77.9428383204933,61.364285442291006,80.613,80.225,76.651,76.152
2012-06-25,80.319,80.325,79.431,79.518,0,80.50183258733739,79.32425,78.14666741266262,50.2546259299069,80.325,79.431,76.651,76.152
2012-06-26,79.519,79.762,79.224,79.419,0,80.43784603096458,79.3869,78.33595396903542,49.07498568195003,79.762,79.224,76.651,76.152
2012-06-27,79.42,79.858,79.326,79.38,0,80.3702794709688,79.4399,78.50952052903119,48.591098243770254,79.858,79.326,76.651,76.152
2012-06-28,79.381,79.467,79.126,79.324,0,80.35707180919665,79.463,78.56892819080333,47.86134312222287,79.467,79.126,76.651,76.152
2012-06-29,79.326,79.982,79.262,79.785,0,80.38817893261859,79.48555,78.58292106738142,53.98757139146425,79.982,79.262,76.651,76.152
2012-07-01,79.851,79.971,79.723,79.773,0,80.41423159928682,79.50395,78.59366840071318,53.810330470109726,79.971,79.723,76.651,76.152
2012-07-02,79.771,79.827,79.304,79.745,0,80.43392189128373,79.51785,78.60177810871626,53.37005013631286,79.827,79.304,76.651,76.152
2012-07-03,79.744,79.922,79.584,79.786,0,80.45031594785797,79.5273,78.60428405214202,53.964029611939374,79.922,79.584,76.651,76.152
2012-07-04,79.784,80.084,79.687,79.822,0,80.47454979476316,79.5427,78.61085020523683,54.511937130658445,80.084,79.687,76.651,76.152
2012-07-05,79.821,80.088,79.552,79.942,0,80.50636571852739,79.55875,78.61113428147262,56.37574610699833,80.088,79.552,76.651,76.152
2012-07-06,79.941,79.954,79.487,79.649,0,80.51656880895924,79.5708,78.62503119104078,50.89260188874603,79.954,79.487,76.651,76.152
2012-07-08,79.61,79.721,79.417,79.636,0,80.51483383078451,79.60045,78.68606616921548,50.657184342620916,79.721,79.417,76.651,76.152
