position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1488,aggressive_v2_5,BUY,2025-03-04 17:00:00,149.762,2025-03-04 18:00:00,149.961,0.39,19.900000000001228,7761.000000000478,tp
1489,aggressive_v2_5,SELL,2025-03-04 23:45:00,149.82299999999998,2025-03-05 01:15:00,149.594,0.39,22.8999999999985,8930.999999999414,tp
1490,aggressive_v2_5,SELL,2025-03-05 07:15:00,149.273,2025-03-05 07:30:00,149.397,0.39,-12.399999999999523,-4835.999999999814,sl
1491,aggressive_v2_5,BUY,2025-03-05 08:00:00,149.651,2025-03-05 08:15:00,149.178,0.39,-47.30000000000132,-18447.000000000513,sl
1492,aggressive_v2_5,SELL,2025-03-05 08:45:00,149.015,2025-03-05 09:00:00,148.817,0.39,19.799999999997908,7721.999999999184,tp
1493,aggressive_v2_5,SELL,2025-03-05 11:00:00,148.60299999999998,2025-03-05 11:45:00,148.826,0.39,-22.30000000000132,-8697.000000000515,sl
1494,aggressive_v2_5,SELL,2025-03-06 09:30:00,147.458,2025-03-06 09:45:00,147.564,0.39,-10.599999999999454,-4133.999999999787,sl
1495,aggressive_v2_5,SELL,2025-03-06 14:45:00,147.68599999999998,2025-03-06 15:00:00,147.82,0.39,-13.400000000001455,-5226.0000000005675,sl
1496,aggressive_v2_5,BUY,2025-03-06 18:30:00,148.029,2025-03-06 19:00:00,147.75,0.39,-27.899999999999636,-10880.999999999858,sl
1497,aggressive_v2_5,SELL,2025-03-09 19:45:00,147.292,2025-03-09 20:15:00,147.141,0.39,15.100000000001046,5889.000000000407,tp
1498,aggressive_v2_5,SELL,2025-03-10 07:00:00,146.90699999999998,2025-03-10 07:45:00,147.016,0.39,-10.900000000000887,-4251.000000000346,sl
1499,aggressive_v2_5,SELL,2025-03-10 07:45:00,147.01399999999998,2025-03-10 08:30:00,147.124,0.39,-11.000000000001364,-4290.000000000532,sl
1500,aggressive_v2_5,BUY,2025-03-10 10:45:00,147.15300000000002,2025-03-10 13:15:00,147.334,0.39,18.099999999998317,7058.999999999343,tp
1501,aggressive_v2_5,SELL,2025-03-10 19:45:00,146.74599999999998,2025-03-10 20:15:00,146.836,0.39,-9.000000000003183,-3510.0000000012415,sl
1502,aggressive_v2_5,BUY,2025-03-10 22:45:00,147.11700000000002,2025-03-10 23:30:00,146.928,0.39,-18.900000000002137,-7371.000000000833,sl
1503,aggressive_v2_5,BUY,2025-03-11 08:30:00,147.95600000000002,2025-03-11 08:45:00,147.773,0.39,-18.300000000002115,-7137.000000000825,sl
1504,aggressive_v2_5,SELL,2025-03-11 11:30:00,147.308,2025-03-11 12:00:00,147.117,0.39,19.10000000000025,7449.000000000097,tp
1505,aggressive_v2_5,BUY,2025-03-11 15:15:00,147.80800000000002,2025-03-11 16:15:00,147.604,0.39,-20.400000000000773,-7956.000000000302,sl
1506,aggressive_v2_5,BUY,2025-03-11 17:30:00,147.87400000000002,2025-03-11 18:45:00,148.049,0.39,17.499999999998295,6824.999999999335,tp
1507,aggressive_v2_5,SELL,2025-03-12 11:30:00,148.212,2025-03-12 12:30:00,148.294,0.39,-8.200000000002206,-3198.0000000008604,sl
1509,aggressive_v2_5,SELL,2025-03-12 13:00:00,148.166,2025-03-12 13:15:00,148.276,0.39,-11.000000000001364,-4290.000000000532,sl
1508,aggressive_v2_5,SELL,2025-03-12 12:15:00,148.25199999999998,2025-03-12 13:30:00,148.385,0.39,-13.300000000000978,-5187.000000000381,sl
1510,stable_v2_5,BUY,2025-03-12 13:45:00,148.34400000000002,2025-03-12 17:30:00,148.137,1.95,-20.700000000002206,-40365.0000000043,sl
1511,aggressive_v2_5,SELL,2025-03-12 17:30:00,148.135,2025-03-12 17:45:00,148.223,0.39,-8.800000000002228,-3432.000000000869,sl
1512,aggressive_v2_5,BUY,2025-03-13 17:30:00,147.955,2025-03-13 18:30:00,147.874,0.39,-8.100000000001728,-3159.000000000674,sl
1513,aggressive_v2_5,BUY,2025-03-13 22:45:00,148.334,2025-03-13 23:30:00,148.542,0.39,20.79999999999984,8111.999999999938,tp
1514,aggressive_v2_5,SELL,2025-03-14 07:00:00,148.594,2025-03-14 07:15:00,148.767,0.39,-17.300000000000182,-6747.000000000071,sl
1515,aggressive_v2_5,SELL,2025-03-14 07:45:00,148.654,2025-03-14 09:45:00,148.457,0.39,19.700000000000273,7683.000000000106,tp
1516,aggressive_v2_5,BUY,2025-03-14 15:15:00,148.626,2025-03-16 16:15:00,148.796,0.39,16.99999999999875,6629.9999999995125,tp
